User Start Date:,2025-01-01T00:00:00.000Z
User End Date:,2025-01-10T23:59:59.000Z
User Bounding Box:,"-45, -13.47, 126.4, 51.2"
Fill Value:,999999986991104.0
,
time,mean_M2T1NXAER_5_12_4_BCCMASS
2025-01-01T00:30:00.000000000,1.2265837e-06
2025-01-01T01:30:00.000000000,1.2194814e-06
2025-01-01T02:30:00.000000000,1.2117e-06
2025-01-01T03:30:00.000000000,1.2075794e-06
2025-01-01T04:30:00.000000000,1.1995172e-06
2025-01-01T05:30:00.000000000,1.1914636e-06
2025-01-01T06:30:00.000000000,1.228687e-06
2025-01-01T07:30:00.000000000,1.2203842e-06
2025-01-01T08:30:00.000000000,1.2149493e-06
2025-01-01T09:30:00.000000000,1.3044413e-06
2025-01-01T10:30:00.000000000,1.3042334e-06
2025-01-01T11:30:00.000000000,1.3063243e-06
2025-01-01T12:30:00.000000000,1.3433996e-06
2025-01-01T13:30:00.000000000,1.3420087e-06
2025-01-01T14:30:00.000000000,1.3387381e-06
2025-01-01T15:30:00.000000000,1.3351038e-06
2025-01-01T16:30:00.000000000,1.3297022e-06
2025-01-01T17:30:00.000000000,1.3239018e-06
2025-01-01T18:30:00.000000000,1.3198302e-06
2025-01-01T19:30:00.000000000,1.3129497e-06
2025-01-01T20:30:00.000000000,1.3057966e-06
2025-01-01T21:30:00.000000000,1.2985598e-06
2025-01-01T22:30:00.000000000,1.2911887e-06
2025-01-01T23:30:00.000000000,1.2836889e-06
2025-01-02T00:30:00.000000000,1.2803218e-06
2025-01-02T01:30:00.000000000,1.2710909e-06
2025-01-02T02:30:00.000000000,1.2612263e-06
2025-01-02T03:30:00.000000000,1.2500584e-06
2025-01-02T04:30:00.000000000,1.2397985e-06
2025-01-02T05:30:00.000000000,1.2297592e-06
2025-01-02T06:30:00.000000000,1.237277e-06
2025-01-02T07:30:00.000000000,1.2285394e-06
2025-01-02T08:30:00.000000000,1.2229787e-06
2025-01-02T09:30:00.000000000,1.3057872e-06
2025-01-02T10:30:00.000000000,1.3049735e-06
2025-01-02T11:30:00.000000000,1.3062092e-06
2025-01-02T12:30:00.000000000,1.3159917e-06
2025-01-02T13:30:00.000000000,1.3127251e-06
2025-01-02T14:30:00.000000000,1.3068693e-06
2025-01-02T15:30:00.000000000,1.3256744e-06
2025-01-02T16:30:00.000000000,1.3179525e-06
2025-01-02T17:30:00.000000000,1.3102542e-06
2025-01-02T18:30:00.000000000,1.3049721e-06
2025-01-02T19:30:00.000000000,1.2971575e-06
2025-01-02T20:30:00.000000000,1.2893491e-06
2025-01-02T21:30:00.000000000,1.2815876e-06
2025-01-02T22:30:00.000000000,1.273868e-06
2025-01-02T23:30:00.000000000,1.2661474e-06
2025-01-03T00:30:00.000000000,1.2586139e-06
2025-01-03T01:30:00.000000000,1.2500024e-06
2025-01-03T02:30:00.000000000,1.2409963e-06
2025-01-03T03:30:00.000000000,1.2412121e-06
2025-01-03T04:30:00.000000000,1.2324401e-06
2025-01-03T05:30:00.000000000,1.2241966e-06
2025-01-03T06:30:00.000000000,1.2574036e-06
2025-01-03T07:30:00.000000000,1.2481933e-06
2025-01-03T08:30:00.000000000,1.2410129e-06
2025-01-03T09:30:00.000000000,1.3268491e-06
2025-01-03T10:30:00.000000000,1.3231296e-06
2025-01-03T11:30:00.000000000,1.321486e-06
2025-01-03T12:30:00.000000000,1.3412807e-06
2025-01-03T13:30:00.000000000,1.3378203e-06
2025-01-03T14:30:00.000000000,1.333264e-06
2025-01-03T15:30:00.000000000,1.3389683e-06
2025-01-03T16:30:00.000000000,1.3338843e-06
2025-01-03T17:30:00.000000000,1.3285951e-06
2025-01-03T18:30:00.000000000,1.3342342e-06
2025-01-03T19:30:00.000000000,1.3282488e-06
2025-01-03T20:30:00.000000000,1.3221487e-06
2025-01-03T21:30:00.000000000,1.3160162e-06
2025-01-03T22:30:00.000000000,1.309773e-06
2025-01-03T23:30:00.000000000,1.3033276e-06
2025-01-04T00:30:00.000000000,1.2973431e-06
2025-01-04T01:30:00.000000000,1.2892305e-06
2025-01-04T02:30:00.000000000,1.2802567e-06
2025-01-04T03:30:00.000000000,1.2794746e-06
2025-01-04T04:30:00.000000000,1.2699444e-06
2025-01-04T05:30:00.000000000,1.2603676e-06
2025-01-04T06:30:00.000000000,1.2486229e-06
